hs_index,aw_md_norm,cos_awMD_normLR,cos_awMD_normMD,cos_awMD_normMD_minus10pc,cos_awMD_normMD_minus1pc,cos_awMD_normMD_minus20pc,cos_awMD_normMD_minus2pc,cos_awMD_normMD_minus50pc,cos_awMD_normMD_minus5pc,cos_awMD_normMD_withinPos,cos_awMD_procMD,cos_awMD_random,cos_awMD_testMD,cos_awMD_testMD_minus10pc,cos_awMD_testMD_minus1pc,cos_awMD_testMD_minus20pc,cos_awMD_testMD_minus2pc,cos_awMD_testMD_minus50pc,cos_awMD_testMD_minus5pc,cos_awW1_normLR,cos_awW1_normMD,cos_awW1_normMD_minus10pc,cos_awW1_normMD_minus1pc,cos_awW1_normMD_minus20pc,cos_awW1_normMD_minus2pc,cos_awW1_normMD_minus50pc,cos_awW1_normMD_minus5pc,cos_awW1_testMD,cos_normMD_adding-knowledge,cos_normMD_backtracking,cos_normMD_deduction,cos_normMD_example-testing,cos_normMD_initializing,cos_normMD_normMD_withinPos,cos_normMD_procMD,cos_normMD_random,cos_normMD_testMD,cos_normMD_uncertainty-estimation,neg_var_top5pc,normLR_train_acc,norm_md_norm,posmatched_null_mean,posmatched_null_sd,shuffled_mean,shuffled_sd,z_cos_awLR_normLR,z_cos_awLR_testLR,z_cos_awMD_normMD,z_cos_awMD_procMD,z_cos_awMD_testMD,z_cos_normLR_testLR,z_cos_normMD_procMD,z_cos_normMD_testMD,z_shuffled_mean,z_shuffled_sd
10,7.7124104499816895,0.006719781579847806,0.423004668259349,-0.20259045683379853,0.4416453984802703,0.0037046199147211327,0.12327684819416605,0.007565284916067272,-0.35570807393774134,-0.24548248645300877,-0.18586020496736752,0.03436266990299539,0.9790560981328779,0.9634471020913821,0.9779136542895852,0.9769810741634766,0.9695010551875983,0.9850185300024569,0.962845595492386,0.01515095570381124,0.13757967629629325,-0.032654785238087444,0.13958836163040636,0.040505538173114176,-0.02311571130347094,0.020049650580929154,-0.1255673800350059,0.5001785423330424,-0.028665218028310457,-0.07787135388079026,-0.035131588344538264,-0.20341038526487837,-0.26839876049053835,0.38299574652483753,-0.33180264590913144,0.012728480240307337,0.45065293353886565,0.06343944219079821,0.3818664252758026,0.9455727051177905,3.61801815032959,0.4945867100646659,0.05918319127425143,0.014362164731335239,0.19727675873850584,0.03777289727743304,0.06365972575411122,0.3345636650129746,-0.09335423659336442,0.9761578265422995,0.03349711710414361,-0.35804650213360417,0.3723674570164395,-0.023770529687760753,0.13816082546535027
11,8.015585899353027,,0.45424343173645043,-0.24952037534902705,0.47778275859998337,0.016042656850290948,0.11275420493135337,-0.012429495773417645,-0.39515282216389486,-0.24382379795255077,-0.21030198304383585,0.01767583307844195,0.9782787881080128,0.9593826166708831,0.976964820163944,0.9742089649809489,0.9660341977567858,0.9834387694400147,0.9596523727585281,,0.13439197804550818,-0.03554642999037343,0.13689008452721252,0.061280371485708196,-0.020681910878364795,0.004980158024974111,-0.11190786707676953,0.4871664931508697,-0.0247512842522727,-0.07672460773582104,-0.02022848600730678,-0.21136766086080777,-0.2551517635883698,0.3850912737256977,-0.3466480977982822,0.02208466947090462,0.47925995134467425,0.06732972538065238,0.3964555859565735,,3.895289421081543,0.5174064714691617,0.055801824153847254,-0.0021198635806023353,0.22473401960172495,,,0.37944876577001635,-0.13280635910145838,0.9741710996763882,,-0.3619142136047498,0.41319942573417645,-0.010762921107555789,0.17040680090865665
12,8.41364574432373,,0.47072045371221355,-0.22910240404835588,0.485905203849358,0.001059172917847075,0.07917055557801975,-0.044702059318075645,-0.3920041271297791,-0.2072855257199308,-0.2287196351571819,0.024613278020432016,0.9776546386206713,0.9565463632358124,0.9759227667867424,0.9717764474358164,0.9633516515315843,0.9814300690502747,0.9580642490788119,,0.1279115577084705,-0.015944040951465482,0.126761071459382,0.05651273703885237,-0.040899449384969845,0.017637795768778726,-0.10993788394716893,0.47770628351431416,-0.011149175383012357,-0.052153472411307376,0.0006420339419378027,-0.20267739998573253,-0.23058010538803,0.41610351924704897,-0.386081333096176,0.02129853095705565,0.49481708192805407,0.0918817129814953,0.3983168303966522,,4.23748254776001,0.5275759799794221,0.06095476758191759,-0.0010971919687557529,0.21237921301244764,,,0.38549994855169967,-0.13686084542109989,0.9738201836557471,,-0.3914079250871299,0.41970449115382,-0.04083157569596166,0.16961940425712366
13,8.653573989868164,,0.484475987517363,-0.21742036646866958,0.48948007046632663,-0.0018575528344983178,0.04834664368287698,-0.06199606075321563,-0.3656706049693051,-0.2091692585078248,-0.24613609690372945,0.03154922830471682,0.9773288116772574,0.955879798337843,0.9751115722986239,0.9704411422814019,0.9615280030388014,0.9790233084818007,0.9581671118129867,,0.12649511419939352,-0.005003543418560407,0.12130914727964053,0.024201260348674546,-0.04684719327188203,-0.022576257892006735,-0.06488709872077421,0.4705648633311169,0.01693086365493222,-0.04037192203673416,0.011186997276698517,-0.1998812520501689,-0.1986980256351054,0.44035690222506535,-0.42761016286015696,0.01275213549865345,0.5094110319529719,0.0990565017887979,0.400347501039505,,4.502666473388672,0.5332732550569188,0.06005787812026748,-0.024537686515670686,0.22285802957429454,,,0.4119180762725652,-0.16964100114514022,0.9746473087344047,,-0.42776814673386926,0.447844479149657,0.019607399776100053,0.16220504521540607
14,9.048349380493164,,0.4865836398987837,-0.2361854109131386,0.4893667620811834,-0.012071562659857175,0.07014145332384773,-0.043157463456839,-0.3890365095129941,-0.2061542634611278,-0.25740498497317116,0.04380722997397568,0.977464523262337,0.9538225358603082,0.974693503729876,0.9702376161370695,0.9615360811675375,0.9781373451248164,0.9568013825614394,,0.131481548166018,-0.012072829450159731,0.12255869465211434,0.026820315685342072,-0.03574963834779307,0.0035670051830056304,-0.07407969156993016,0.467250545560499,-0.005768900828962489,-0.06554188443105641,-0.012304296778388152,-0.22117292883988796,-0.22843519268772852,0.4399351850075642,-0.4212306692983922,0.023729606963627116,0.5075581183728105,0.07776323103342293,0.40650302171707153,,4.649265289306641,0.5544489058223147,0.05775563906926627,-0.014706501717262708,0.23998430403737903,,,0.3974512388242129,-0.16304987209314922,0.9743233743875995,,-0.4235707138254358,0.42932744717247123,-0.038171447131583346,0.1642598342821826
15,9.43643856048584,,0.5134967027268609,-0.22324884877980183,0.49918655831726055,-0.02648679818280169,0.023064200370999773,-0.1068981444291103,-0.4116842730456077,-0.13001877988892405,-0.27515503746773573,0.021027281427036918,0.9775914618705349,0.9572912744039892,0.9746046780564804,0.9739253148526251,0.9604868051345634,0.9823428508924363,0.9575766912617681,,0.12848185350129263,-0.0018943916089914758,0.11293282744088654,0.03263480578822109,-0.0533804852060219,-0.005455997930291652,-0.09363793573359877,0.47045234939749364,0.0010027606455083947,-0.056569533752612776,-0.005414559208921758,-0.22165429644196968,-0.19264720510877548,0.4878645541392386,-0.45968173451817085,0.028773170593305645,0.5407125008187684,0.09021170933354257,0.4096532464027405,,5.044417858123779,0.5513700389226056,0.06088143093022127,0.0006602229170951546,0.25097142122062654,,,0.42226436225087816,-0.20122980955406564,0.9751280629907264,,-0.48043607189273024,0.46199529602629885,-0.03563213168140642,0.19183352785156035
16,9.985490798950195,,0.516942503170629,-0.205260532965687,0.4806919815597496,-0.008944802949762316,0.027328875787652293,-0.039022647902567556,-0.43063980082070086,-0.12056163485253814,-0.279830176181803,0.029972694155803614,0.978072364847402,0.9581881390702933,0.9740877507621768,0.9746341044679993,0.9608929143112455,0.9820050545707198,0.9581315313417442,,0.13060317203659366,0.01955396680191126,0.10411806819176117,0.05418748936023504,-0.0564553549111067,-0.01032037610402915,-0.08558136109493528,0.4655017051312552,0.016338773213038966,-0.05028829523339432,0.017646100773561157,-0.20446027063452932,-0.20103421409998276,0.4846772182193166,-0.4882762830015026,0.034468938684795676,0.5452928046014757,0.08624498623944436,0.40525010228157043,,5.231687068939209,0.5590911342347306,0.06528379510182754,-0.0025507447358026707,0.26065604499734224,,,0.4270938989484847,-0.20801644842763378,0.9754389682513971,,-0.4897754189998932,0.46696595502542776,0.056042550039809444,0.18872391508219358
17,10.67373275756836,,0.5475869241913264,-0.19961547167707266,0.5466894055625166,-0.04873448078777311,0.4907497058876778,-0.07775056052117288,-0.46819514990649336,-0.11562573187097848,-0.24402756044567323,0.033721266421933876,0.9798788275652878,0.9512788406239152,0.979382484351404,0.972080583628686,0.9744192543686818,0.9775814984516766,0.960409400642555,,0.14547639084904654,0.009690904060190648,0.13932576486374773,0.026457192747327704,0.10447997232030067,-0.0336188071562312,-0.13001635841254686,0.47033483467490217,0.03843935388121779,-0.01742993073756683,0.056193804509350014,-0.10672395683643741,-0.18770725584526718,0.4806104729661705,-0.48799311200798345,0.020822605828022395,0.574320365947166,0.03515629835081687,0.7081261873245239,,5.5920796394348145,0.5060990316634923,0.11030548897550152,0.034838549622183364,0.23669286117343535,,,0.4789343342168464,-0.24549650224929198,0.977356420655389,,-0.5277562612549117,0.5136934938038291,0.09813774485698404,0.23390872178930838
18,11.970943450927734,,0.572532183628142,-0.18596428277509627,0.5647820104241417,-0.019150010213008356,0.5315814086457332,-0.07947149936888244,-0.4637810875710961,-0.060131684879046035,-0.22935309304609477,0.027255055341425534,0.9812280016824171,0.9518532868779388,0.9805961287762295,0.9754927629088302,0.9772601219980337,0.9783649841841736,0.9596319683528208,,0.14498166987430366,0.016686803057808036,0.1317354331380801,0.06480959642605313,0.1093788244042368,-0.01887544772054748,-0.14901078315240543,0.457548488114998,-0.0029127070722288033,-0.006088330133360043,0.06568494977910001,-0.1079973027536195,-0.18621749528131146,0.4883262423860606,-0.46762452379576175,0.01924246943732863,0.5958712220501832,0.004846080038944179,0.6905778646469116,,6.0885114669799805,0.5247372172367372,0.10541460789921116,0.026355462838786183,0.23198915321951286,,,0.48840508532352206,-0.18680029340366444,0.9783254524227561,,-0.49207950754765656,0.5186380817380706,-0.04845927283298235,0.20953366057839845
19,13.514697074890137,,0.5905199719275429,-0.17347904973350411,0.5841927038739366,-0.06270158074602651,0.5172575635143207,-0.08089907587141092,-0.4871893619826487,0.010289322749593545,-0.262025132018831,0.017719891752450506,0.9820324625304665,0.9528643661818833,0.9816468434581401,0.974101388395888,0.9769124383926832,0.9774834058662798,0.9590905049272552,,0.13494596468776993,0.023248214911965544,0.12391491607675968,0.0498552120137664,0.09554477938213753,-0.01973038313219825,-0.14026680028602206,0.4302629578540363,0.018723685416357317,-0.001882345453884376,0.06243681981891512,-0.11443475787002699,-0.18847087071404034,0.5262927101987307,-0.5125639499757357,0.02003424700691937,0.6146912949883668,0.034086012125919204,0.6625112295150757,,7.1024489402771,0.5312268071597501,0.09667574018254255,0.011613543210827401,0.23587880854533974,,,0.5053286560940315,-0.20042575584414488,0.9782164508888663,,-0.5155128016319782,0.5360110455570486,-0.01681157116128942,0.24499450239720222
