model,layer,d_model,norm_w0,norm_w1,norm_diff,norm_w1_over_init,norm_sum,init_over_w1,cos_w1_diff,cos_w0_w1,frac_w1_along_diff,bias_diff
deepseek_qwen,11,5120,2.4065136909484863,2.4039111137390137,4.740600109100342,4.163696185875458,0.8166436553001404,0.16985729336738586,0.9854688048362732,-0.9423600435256958,0.9711486101150513,-0.010417139157652855
deepseek_qwen,12,5120,2.453704595565796,2.4534852504730225,4.838760852813721,4.249561109440128,0.8166437149047852,0.16642522811889648,0.9860539436340332,-0.9446101784706116,0.9723024368286133,-0.010349307209253311
deepseek_qwen,13,5120,2.1699092388153076,2.1647603511810303,4.257050037384033,3.74947491445619,0.8166436553001404,0.18862219154834747,0.9820505380630493,-0.9290149211883545,0.9644232988357544,-0.011108363047242165
deepseek_qwen,14,5120,2.0050535202026367,1.9970635175704956,3.917919635772705,3.4590154783743197,0.8166435956954956,0.20446109771728516,0.9788768291473389,-0.9167323708534241,0.9581999182701111,-0.012282212264835835
deepseek_qwen,15,5120,1.8002707958221436,1.798111081123352,3.504490375518799,3.114419750158249,0.8166436553001404,0.22708375751972198,0.9738753437995911,-0.8969905376434326,0.9484333992004395,-0.011018741875886917
deepseek_qwen,16,5120,1.637303113937378,1.6355160474777222,3.169296979904175,2.832796890825647,0.8166436553001404,0.24965931475162506,0.968333899974823,-0.8754772543907166,0.9376703500747681,-0.011435427702963352
deepseek_qwen,17,5120,1.4227027893066406,1.4268691539764404,2.7300496101379395,2.4714098704400147,0.8166436553001404,0.2861662805080414,0.9581809639930725,-0.8357422351837158,0.9181108474731445,-0.012344886548817158
deepseek_qwen,18,5120,1.3267616033554077,1.3346083164215088,2.5329911708831787,2.311609412246014,0.8166436553001404,0.30594882369041443,0.9520530700683594,-0.8117008209228516,0.9064049124717712,-0.012335670180618763
deepseek_qwen,19,5120,1.2987804412841797,1.3088105916976929,2.476433515548706,2.266926442304689,0.8166437149047852,0.3119793236255646,0.9500975012779236,-0.8038640022277832,0.9026855230331421,-0.01235655602067709
deepseek_qwen,20,5120,1.2719690799713135,1.281213641166687,2.419074535369873,2.219127121851022,0.8166437149047852,0.31869927048683167,0.9478634595870972,-0.7954113483428955,0.8984450697898865,-0.012166265398263931
deepseek_qwen,21,5120,1.2297624349594116,1.2382835149765015,2.3290374279022217,2.1447699621142773,0.8166436553001404,0.3297482430934906,0.9440759420394897,-0.7810489535331726,0.8912792801856995,-0.011139760725200176
deepseek_qwen,22,5120,1.1977903842926025,1.2032471895217896,2.2578985691070557,2.0840852663161975,0.8166437745094299,0.3393499553203583,0.9406633973121643,-0.7686445116996765,0.8848475813865662,-0.010929160751402378
deepseek_qwen,23,5120,1.1894662380218506,1.195455551147461,2.2407543659210205,2.070589752777657,0.8166436553001404,0.3415617048740387,0.9398632645606995,-0.7655089497566223,0.8833428621292114,-0.010840684175491333
deepseek_qwen,24,5120,1.2205469608306885,1.2297375202178955,2.3102104663848877,2.1299678649911544,0.8166438341140747,0.33203989267349243,0.9432737827301025,-0.7778670191764832,0.889765739440918,-0.01174850482493639
deepseek_qwen,25,5120,1.2348064184188843,1.2429215908050537,2.3392934799194336,2.152803345098687,0.8166437745094299,0.3285178244113922,0.9445042014122009,-0.7827550768852234,0.8920882940292358,-0.011386079713702202
deepseek_qwen,26,5120,1.2313849925994873,1.2389185428619385,2.3314261436462402,2.1458698626760775,0.8166437149047852,0.32957926392555237,0.944133460521698,-0.7814444899559021,0.8913879990577698,-0.010962110944092274
deepseek_qwen,27,5120,1.261790156364441,1.2679458856582642,2.3943047523498535,2.1961466952080317,0.8166438341140747,0.32203418016433716,0.9467315077781677,-0.7915879487991333,0.8963004946708679,-0.011080660857260227
deepseek_qwen,28,5120,1.2644556760787964,1.271448016166687,2.400822639465332,2.202212563183357,0.8166437745094299,0.3211471438407898,0.9470338821411133,-0.792603611946106,0.8968731164932251,-0.011278201825916767
deepseek_qwen,29,5120,1.234259843826294,1.2472808361053467,2.343353748321533,2.1603537794414502,0.8166437149047852,0.3273696303367615,0.9449125528335571,-0.783452033996582,0.8928598165512085,-0.011170245707035065
deepseek_qwen,30,5120,1.217911958694458,1.2329033613204956,2.3108034133911133,2.1354512626295477,0.8166437745094299,0.33118724822998047,0.9435871839523315,-0.77800452709198,0.8903567790985107,-0.010961764492094517
