model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,initializing,density_testlex,0.0020297974262168633,0.0,0.00608939227865059
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,deduction,density,-0.050550273815221786,-0.23530933423853706,0.13975223572488701
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,deduction,density_nontest,-0.18570661273552505,-0.38272862561336995,0.02233878052968454
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,deduction,density_testlex,0.1351563389203032,0.07812189563404212,0.1954306311403692
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,adding-knowledge,density,-0.04898266795397257,-0.18988419138113954,0.08249316229667376
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,adding-knowledge,density_nontest,-0.07471601706814417,-0.212982737988527,0.0636966037310347
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,adding-knowledge,density_testlex,0.025733349114171623,-0.0016979838054637492,0.05430832685061497
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,example-testing,density,-0.02393196869142649,-0.07713997911088714,0.027595984458343763
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,example-testing,density_nontest,-0.02584710424711504,-0.07915464815815017,0.02590114880776346
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,example-testing,density_testlex,0.0019151355556885508,-0.009876677943904835,0.014148768011603469
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,uncertainty-estimation,density,0.139084323990088,0.026866843869325144,0.2529434106685911
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,uncertainty-estimation,density_nontest,0.022178364737813726,-0.0903807577834858,0.1380622369837754
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,uncertainty-estimation,density_testlex,0.11690595925227423,0.06514454634115814,0.1710710129957754
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,backtracking,density,-0.007214866285412775,-0.05738384006849531,0.0426235133307516
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,backtracking,density_nontest,-0.011909481561690884,-0.060326938420220716,0.034824656805276036
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,same,119,backtracking,density_testlex,0.004694615276278109,0.0,0.014083845828834325
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,initializing,density,-0.1592972544020992,-0.25710997029195254,-0.06395495748494198
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,initializing,density_nontest,-0.1592972544020992,-0.25710997029195254,-0.06395495748494198
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,deduction,density,0.27420124969031306,-0.19709818366764156,0.6976426153880614
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,deduction,density_nontest,-0.24168750941856562,-0.7264552619177346,0.20828046705962025
