model,family,framing,arm,signed_alpha,n,metric,behaviour,mean,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,uncertainty-estimation,0.8093464681226494,0.721140172022363,0.896225251271938
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,backtracking,0.10940345258416469,0.07926238183333381,0.13950752281282847
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,initializing,0.12594514960603184,0.11953703558575093,0.13294974018338115
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,deduction,0.5182365290399988,0.5036347186613751,0.533763137226123
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,adding-knowledge,0.22900747290504359,0.21592803207937147,0.2418871713500067
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,example-testing,0.02480062595093773,0.016491752832562233,0.03382741933462107
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,uncertainty-estimation,0.08889233657414893,0.07882129369989554,0.0994130852643552
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,backtracking,0.01311788592383915,0.009268552084041546,0.017363318524481378
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,any,example-testing,0.25675675675675674,0.18243243243243243,0.32432432432432434
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,any,uncertainty-estimation,0.8851351351351351,0.831081081081081,0.9324324324324325
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,any,backtracking,0.2702702702702703,0.19594594594594594,0.33783783783783783
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,words,,255.98648648648648,241.70118243243243,272.18327702702703
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,n_spans_counted,,18.533783783783782,17.58091216216216,19.56081081081081
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,repetition_4gram,,0.004179179462365332,0.0030953947045282283,0.005479957688015733
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,executed,,0.1554054054054054,0.10135135135135136,0.21621621621621623
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,density,initializing,0.5918638430471518,0.5474473846536337,0.6427289008346246
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,density,deduction,4.093763708906259,3.9494304260416264,4.236765096498408
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,density,adding-knowledge,1.6579452184777654,1.5588012117919499,1.753896797491235
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,density,example-testing,0.126158724655865,0.08493740416791473,0.1725170264188158
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,density,uncertainty-estimation,0.7366329201260985,0.6632200601129988,0.814450133623689
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,density,backtracking,0.12379740331741104,0.09112443518861339,0.1596608548187584
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,coverage,initializing,0.12402560521201028,0.11778444333363514,0.13035784297643438
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,coverage,deduction,0.5241988479795152,0.5062878694423688,0.5415499811159546
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,coverage,adding-knowledge,0.2363886155155851,0.22127372752370686,0.2512717736949779
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,coverage,example-testing,0.019806377776409246,0.013018866424491085,0.027512285387112586
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,coverage,uncertainty-estimation,0.08032292132093671,0.07133738431381205,0.08960265958925273
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,coverage,backtracking,0.015257632195543434,0.011012126852393988,0.02002656170571046
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,any,example-testing,0.22818791946308725,0.1610738255033557,0.2953020134228188
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,any,uncertainty-estimation,0.8657718120805369,0.8053691275167785,0.9194630872483222
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,any,backtracking,0.2751677852348993,0.2080536912751678,0.348993288590604
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,words,,254.81208053691276,241.3265100671141,268.98741610738256
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,n_spans_counted,,18.483221476510067,17.590436241610735,19.46996644295302
