model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_nontest,deduction,3.497809719745406,3.8411291116569424,0.3433193919115364,-0.07215095897957444,0.7790344986279382,0.12352708211677813,0.08363443724969018
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_nontest,adding-knowledge,1.2179848417950199,1.0854699774095713,-0.13251486438544874,-0.38579768267752385,0.1251286779514123,0.3083677904447059,0.4280473482759819
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_nontest,example-testing,0.5762888759412419,0.3657860937913845,-0.21050278214985738,-0.37543812936635446,-0.05009229211755305,0.01346670036670905,0.023172017446444062
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_nontest,uncertainty-estimation,0.45578332266339144,0.29865969951420657,-0.1571236231491849,-0.27623807814758583,-0.05349622416844199,0.00779777440707069,0.006121860031356517
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_nontest,backtracking,0.13706592803705814,0.13820801700122184,0.0011420889641637075,-0.07073457375856067,0.07977933427248489,0.9762104533971828,0.7356629695440822
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,words,,513.2833333333333,471.76666666666665,-41.516666666666666,-95.79416666666667,15.135416666666655,0.14086024824915327,0.013295196183429928
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,n_spans_counted,,35.25,30.283333333333335,-4.966666666666667,-8.9675,-1.05,0.012590232536549017,0.0020162683532131847
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density,initializing,0.44398321558747006,0.3230941615480955,-0.12088905403937455,-0.2006429970326505,-0.03881717951652522,0.00452823064054109,0.0106347687157284
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density,deduction,3.7422735674281262,3.4435673876713215,-0.29870617975680414,-0.6798329528124961,0.0823048043561129,0.13381343794265438,0.17556577014041042
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density,adding-knowledge,1.3245260124177285,0.9606478307978689,-0.3638781816198599,-0.5842290522685657,-0.1474980286148824,0.0020745019734634356,0.0018925454856315
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density,example-testing,0.6137032536093195,1.003856375406703,0.3901531217973832,0.15786055947436003,0.6339972103785859,0.002861930604714606,0.009945933057707381
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density,uncertainty-estimation,0.5369162294454891,0.8481317135930547,0.31121548414756556,0.1505097875525928,0.4658531793123688,0.0002779173665549294,0.00048079830772239834
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density,backtracking,0.17028748181040604,0.13753219417662457,-0.032755287633781466,-0.08890142181485045,0.03090294121027195,0.3006650948186418,0.050609763708615016
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,coverage,initializing,0.09250519899682556,0.06859312617531839,-0.02391207282150717,-0.03539541037769965,-0.011528323744094588,0.00017857761605223437,6.405543934676026e-05
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,coverage,deduction,0.5206158801561669,0.49337936003237315,-0.027236520123793666,-0.07591211634965388,0.021104932587748284,0.284991131607962,0.2330340253971983
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,coverage,adding-knowledge,0.19210841862571157,0.1505304184838851,-0.04157800014182651,-0.07687697997761309,-0.0054024737848984115,0.02840397562844944,0.0128383632104671
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,coverage,example-testing,0.09285868748446777,0.14607769913356342,0.05321901164909563,0.019884144112242704,0.08693000476717035,0.003936040393985187,0.009945933057707381
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,coverage,uncertainty-estimation,0.07590172237249357,0.12169715946933463,0.04579543709684105,0.019954084282995384,0.07028167300048263,0.0006660237565798278,0.002046650656510462
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,coverage,backtracking,0.026010092364334634,0.019722236705525316,-0.006287855658809317,-0.01471469632553779,0.002676677198463291,0.1707367520494688,0.08741341220581944
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,any,adding-knowledge,0.9666666666666667,0.95,-0.016666666666666666,-0.1,0.05,0.6585143199624031,1.0
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,any,example-testing,0.7666666666666667,0.7333333333333333,-0.03333333333333333,-0.15,0.08333333333333333,0.5680718717230764,0.7744140625
