model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_4b,steer_actions,fake,aware,0.05,same,124,example-testing,density_nontest,-0.03393603610191388,-0.12559452196552395,0.058511231520343626
qwen3_4b,steer_actions,fake,aware,0.05,same,124,example-testing,density_testlex,0.0006406113227900641,-0.0049709148598625075,0.0068927488282327
qwen3_4b,steer_actions,fake,aware,0.05,same,124,uncertainty-estimation,density,0.020253018135150274,-0.11187666434627196,0.1679237193031468
qwen3_4b,steer_actions,fake,aware,0.05,same,124,uncertainty-estimation,density_nontest,-0.007845379978005034,-0.13510980969082928,0.13535543161252447
qwen3_4b,steer_actions,fake,aware,0.05,same,124,uncertainty-estimation,density_testlex,0.02809839811315532,-0.006547805850687287,0.06301025225723199
qwen3_4b,steer_actions,fake,aware,0.05,same,124,backtracking,density,0.04259784990788011,-0.03485681242914799,0.11754789237875429
qwen3_4b,steer_actions,fake,aware,0.05,same,124,backtracking,density_nontest,0.044840669550847104,-0.03347704268302281,0.1194555673771771
qwen3_4b,steer_actions,fake,aware,0.05,same,124,backtracking,density_testlex,-0.0022428196429669788,-0.006728458928900937,0.0009871320289088661
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,initializing,density,-0.12177833589527907,-0.23312805638788034,-0.010542070906290533
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,initializing,density_nontest,-0.12239961024812498,-0.23156379673640884,-0.010795948603026673
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,initializing,density_testlex,0.000621274352845911,-0.0024418572796370236,0.0037868382023483766
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,deduction,density,-0.021452027827475028,-0.2939827269248795,0.2603459600495575
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,deduction,density_nontest,0.015163536122920575,-0.2615070299780836,0.29762068007466885
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,deduction,density_testlex,-0.036615563950395634,-0.08321874198854473,0.010833317737010456
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,adding-knowledge,density,-0.0847461910502535,-0.2629161901926892,0.09191453601870656
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,adding-knowledge,density_nontest,-0.08548284979066945,-0.2651510824049506,0.09207925696466435
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,adding-knowledge,density_testlex,0.0007366587404159463,-0.01641456783169382,0.01784698236011704
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,example-testing,density,0.00856301150737527,-0.09883167413236368,0.11646723837298709
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,example-testing,density_nontest,0.013082785518674705,-0.09558910560086878,0.12333221496192869
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,example-testing,density_testlex,-0.004519774011299435,-0.013559322033898306,0.0
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,uncertainty-estimation,density,0.153458328469907,0.03192075800610401,0.27795224746207625
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,uncertainty-estimation,density_nontest,0.12084790948072927,0.0029961285742502414,0.2458196132773302
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,uncertainty-estimation,density_testlex,0.032610418989177756,-0.009257529557596567,0.0748471897565907
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,backtracking,density,0.0543347920638912,-0.012209751628668277,0.11835137279825093
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,backtracking,density_nontest,0.054685367118655584,-0.011118143061808406,0.11808032436412784
qwen3_4b,steer_actions,fake,aware_strong,0.2,comply_both,118,backtracking,density_testlex,-0.0003505750547643737,-0.00823327615780446,0.008931934355663168
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,initializing,density,-0.12946705472694267,-0.3066555453645872,0.0041234611297596355
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,initializing,density_nontest,-0.11656049819622508,-0.29641616323368974,0.028043096612902454
