model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,uncertainty-estimation,0.07994356445142115,0.08076927752291374,0.0008257130714925916,-0.015398746798976399,0.017083215579329965,0.9195782647658348,0.5947276615871422
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,backtracking,0.04489075254982626,0.044218509780125835,-0.0006722427697004257,-0.011581027564552681,0.010080125584279797,0.905744151171676,0.515133505454844
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,adding-knowledge,0.9798657718120806,0.9865771812080537,0.006711409395973154,-0.013422818791946308,0.03355704697986577,0.5654534272810476,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,example-testing,0.436241610738255,0.40939597315436244,-0.026845637583892617,-0.12080536912751678,0.06711409395973154,0.5879180922519671,0.58621368107314
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,uncertainty-estimation,0.6711409395973155,0.6778523489932886,0.006711409395973154,-0.087248322147651,0.10067114093959731,0.8891922503090613,0.8886378608950078
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,backtracking,0.5637583892617449,0.5167785234899329,-0.04697986577181208,-0.14093959731543623,0.04697986577181208,0.3286527890721246,0.32698934959801507
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,initializing,0.004428353302235407,0.0068241141214015425,0.0023957608191661358,-0.001996998226423644,0.007795870873168023,0.32382963956644545,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,deduction,0.1314254104559466,0.11498948500935781,-0.016435925446588822,-0.0632284383545467,0.027224794607334568,0.48952501915000773,0.5677813567104609
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,adding-knowledge,0.015523357859370266,0.008521064918702663,-0.007002292940667601,-0.02213212821240587,0.007960005057059672,0.38881036078402237,0.4609375
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,example-testing,0.0035794183445190158,0.0,-0.0035794183445190158,-0.010738255033557048,0.0,0.31894268036747386,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,uncertainty-estimation,0.061559992636428106,0.09298259359789879,0.03142260096147069,-0.002635181699422106,0.07055362614676482,0.10824825664835215,0.09023483133668324
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,backtracking,0.004066969719375313,0.0032777390601481026,-0.0007892306592272108,-0.0076463880638943296,0.005658874649763929,0.8144766723474424,1.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,initializing,0.6510873194783665,0.6912915258511634,0.04020420637279689,-0.05902927752773774,0.1502555413186143,0.4589015283637889,0.3959227170657177
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,deduction,3.7120292050359995,3.9964411761350953,0.2844119710990962,0.04506981036506915,0.5198801125585877,0.021805517076785224,0.031857308119138866
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,adding-knowledge,1.6902622833509513,1.6417424561066882,-0.04851982724426326,-0.22809960630406362,0.12376941433467405,0.5845347509023222,0.7405169321684448
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,example-testing,0.3086621745238981,0.2862640238618894,-0.02239815066200866,-0.11745830289540653,0.07228264374078806,0.6581961077836119,0.6292067681923794
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,uncertainty-estimation,0.5449032357197199,0.5258266324050115,-0.019076603314708254,-0.12932356224433403,0.0948711357984666,0.7401299242530388,0.7635893277169716
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,backtracking,0.27478958352884825,0.2658428107604478,-0.008946772768400392,-0.07314550174824797,0.051983403441270615,0.778736831658663,0.5382993784403112
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,words,,345.2281879194631,331.66442953020135,-13.563758389261745,-60.59781879194631,31.52231543624158,0.5838627361006388,0.3832288950047247
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,n_spans_counted,,24.06040268456376,23.812080536912752,-0.2483221476510067,-3.362751677852349,2.77214765100671,0.879306089804753,0.5872529243209609
qwen3_4b,steer_actions,fake,random_aware,0.05,149,density,initializing,0.6555156727806019,0.5745817135868908,-0.08093395919371117,-0.1752313732662071,0.009678341249514257,0.08704133111791441,0.34869422419592533
qwen3_4b,steer_actions,fake,random_aware,0.05,149,density,deduction,3.8434546154919462,3.9961167797231316,0.15266216423118542,-0.0798805356018326,0.36963838633862006,0.19074194422725252,0.1697532159788281
qwen3_4b,steer_actions,fake,random_aware,0.05,149,density,adding-knowledge,1.7057856412103216,1.5239159163632359,-0.18186972484708588,-0.3557700354048829,-0.01030617510059374,0.03467002528183,0.03895070153713991
qwen3_4b,steer_actions,fake,random_aware,0.05,149,density,example-testing,0.31224159286841713,0.2940880653033347,-0.018153527565082483,-0.10947649894529524,0.07717268656649337,0.7021668013380961,0.5906191354319394
qwen3_4b,steer_actions,fake,random_aware,0.05,149,density,uncertainty-estimation,0.6064632283561479,0.6940525256150937,0.08758929725894586,-0.03382569182858415,0.21109955510819012,0.1606222076093286,0.18538160612852495
qwen3_4b,steer_actions,fake,random_aware,0.05,149,density,backtracking,0.27885655324822356,0.2995541190470193,0.020697565798795715,-0.04394442980845327,0.0874505462631546,0.5390833998386046,0.6105324710162294
qwen3_4b,steer_actions,fake,random_aware,0.05,149,coverage,initializing,0.11856491824365388,0.10625058999481839,-0.012314328248835486,-0.023710261569393338,-0.00011167698371493763,0.05009256819989923,0.23887543382086807
qwen3_4b,steer_actions,fake,random_aware,0.05,149,coverage,deduction,0.47543687958404696,0.5013600331234489,0.025923153539402107,-0.002736488698663258,0.05326897806084303,0.06248550052051587,0.03895070153713991
qwen3_4b,steer_actions,fake,random_aware,0.05,149,coverage,adding-knowledge,0.23276136044242732,0.21310117955563546,-0.019660180886791872,-0.04188859710076636,0.0027170048685343433,0.07800649687532696,0.1527600491963259
qwen3_4b,steer_actions,fake,random_aware,0.05,149,coverage,example-testing,0.048402524728624455,0.03978588250180666,-0.008616642226817788,-0.021593452578702346,0.004775713398302223,0.21654936089003674,0.2329419944091733
qwen3_4b,steer_actions,fake,random_aware,0.05,149,coverage,uncertainty-estimation,0.07994356445142115,0.09296455152286351,0.013020987071442376,-0.0036753190439643164,0.030825298098174317,0.14134039608125123,0.08390781668932709
qwen3_4b,steer_actions,fake,random_aware,0.05,149,coverage,backtracking,0.04489075254982626,0.046537763301426935,0.0016470107516006675,-0.009312700085401259,0.012508014300746679,0.7691318135250624,0.8692158950001073
qwen3_4b,steer_actions,fake,random_aware,0.05,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,random_aware,0.05,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,random_aware,0.05,149,any,adding-knowledge,0.9798657718120806,1.0,0.020134228187919462,0.0,0.04697986577181208,0.08325742990436816,
qwen3_4b,steer_actions,fake,random_aware,0.05,149,any,example-testing,0.436241610738255,0.4228187919463087,-0.013422818791946308,-0.11409395973154363,0.09395973154362416,0.8064825235074418,0.8055405886674938
qwen3_4b,steer_actions,fake,random_aware,0.05,149,any,uncertainty-estimation,0.6711409395973155,0.7114093959731543,0.040268456375838924,-0.04697986577181208,0.12751677852348994,0.3674756444027323,0.36571229628151325
qwen3_4b,steer_actions,fake,random_aware,0.05,149,any,backtracking,0.5637583892617449,0.5838926174496645,0.020134228187919462,-0.08053691275167785,0.12080536912751678,0.6975006667893852,0.6961175195434555
