model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_testlex,initializing,0.004428353302235407,0.0060643687555339,0.0016360154532984936,-0.002252150804017837,0.006769928492641206,0.4714857387702473,
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_testlex,deduction,0.1314254104559466,0.12296442476470736,-0.00846098569123925,-0.05918034521854947,0.04278418940837891,0.7438388419890734,0.6611420524122957
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_testlex,adding-knowledge,0.015523357859370266,0.032146525193618145,0.016623167334247884,-0.0046750787981197466,0.03686957998763798,0.11770335031844131,0.15142822265625
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_testlex,example-testing,0.0035794183445190158,0.01091915349491018,0.007339735150391163,-0.006848232501299265,0.022501396132682913,0.31443963427098093,
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_testlex,uncertainty-estimation,0.061559992636428106,0.13629815619445756,0.07473816355802947,0.0334632265130875,0.1177665643756939,0.0012635714376705031,0.001331385885525071
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_testlex,backtracking,0.004066969719375313,0.0,-0.004066969719375313,-0.009461206979251806,0.0,0.0912446932073824,
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_nontest,initializing,0.6510873194783665,0.6215062778455475,-0.029581041632819004,-0.11360954916502365,0.05545528576870311,0.5082638099697218,0.7798737559897388
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_nontest,deduction,3.7120292050359995,3.8597013361335435,0.14767213109754382,-0.11274218967810437,0.4150184601909995,0.2664539961039959,0.2574999309146524
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_nontest,adding-knowledge,1.6902622833509513,1.5761473785095779,-0.11411490484137332,-0.2946981910220774,0.07227846072028259,0.2271301741252821,0.25073640348754234
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_nontest,example-testing,0.3086621745238981,0.28872946542681355,-0.019932709097084597,-0.11033548931933619,0.07419960555422944,0.6677195220430676,0.7353446524084482
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_nontest,uncertainty-estimation,0.5449032357197199,0.48706125065048556,-0.05784198506923415,-0.1844811032245766,0.06215612894082039,0.35781870877781036,0.3938939735727548
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density_nontest,backtracking,0.27478958352884825,0.3120103522084508,0.03722076867960255,-0.03810490669135175,0.10812502115105123,0.320839911156142,0.5902154343555465
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,words,,345.2281879194631,344.1677852348993,-1.0604026845637584,-50.470302013422824,46.17567114093959,0.9671866175933749,0.707510945493933
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,n_spans_counted,,24.06040268456376,24.34228187919463,0.28187919463087246,-2.9674496644295303,3.3565436241610693,0.8663980272083954,0.39533063200429364
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density,initializing,0.6143226705511321,0.6645881539002458,0.050265483349113675,-0.05431944395455749,0.149119117293987,0.3144001220637385,0.3239380536028722
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density,deduction,4.160037871122034,3.9653175700473704,-0.1947203010746639,-0.42786334482802213,0.01580240663274297,0.08788502839650619,0.09332607709262584
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density,adding-knowledge,1.56968172651527,1.8112163983654253,0.24153467185015498,0.0804090204121724,0.39722677928290256,0.005806556734753395,0.015478498608519539
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density,example-testing,0.24243590058771902,0.2538396418380921,0.011403741250373094,-0.06864774392489044,0.09126705618322938,0.7754793737421112,0.7414923839088455
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density,uncertainty-estimation,0.7208768794902509,0.6367856756608675,-0.08409120382938344,-0.22407771850317051,0.04158793615979922,0.22949028625471946,0.31166485573450564
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density,backtracking,0.2792816538193052,0.23234152580679934,-0.04694012801250584,-0.12144263801045077,0.020764701726346348,0.19212040581205933,0.33717965885833956
qwen3_4b,steer_actions,real,aware_strong,0.2,149,coverage,initializing,0.10724960273226813,0.10826445546867151,0.001014852736403377,-0.009478294137429616,0.01108459982061462,0.8462100989194522,0.8090708875314934
qwen3_4b,steer_actions,real,aware_strong,0.2,149,coverage,deduction,0.5075862463400163,0.48765664080287424,-0.019929605537141973,-0.043011361987541574,0.002053288344217335,0.10405408492667144,0.1926161959557634
qwen3_4b,steer_actions,real,aware_strong,0.2,149,coverage,adding-knowledge,0.21293079944413223,0.24919816623605318,0.03626736679192095,0.014714640487893681,0.05653692270229408,0.0016195073604501479,0.0019142725228099464
qwen3_4b,steer_actions,real,aware_strong,0.2,149,coverage,example-testing,0.03651186485368786,0.03491470999930244,-0.0015971548543854124,-0.014192930864993588,0.010704775219484167,0.7929602337695368,0.9532349992811268
qwen3_4b,steer_actions,real,aware_strong,0.2,149,coverage,uncertainty-estimation,0.09322868635509086,0.08462419961256441,-0.008604486742526452,-0.027135879520380577,0.01021338412737687,0.3798144874567711,0.3732183357908183
qwen3_4b,steer_actions,real,aware_strong,0.2,149,coverage,backtracking,0.042492800274804655,0.03534182788053415,-0.007150972394270504,-0.018910008497161374,0.0033562456753759725,0.2068770643948156,0.32852638820056534
qwen3_4b,steer_actions,real,aware_strong,0.2,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,real,aware_strong,0.2,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,real,aware_strong,0.2,149,any,adding-knowledge,0.9865771812080537,0.9865771812080537,0.0,-0.026845637583892617,0.026845637583892617,1.0,
qwen3_4b,steer_actions,real,aware_strong,0.2,149,any,example-testing,0.3624161073825503,0.3691275167785235,0.006711409395973154,-0.087248322147651,0.09395973154362416,0.8869682206853909,0.8864030063670636
qwen3_4b,steer_actions,real,aware_strong,0.2,149,any,uncertainty-estimation,0.7516778523489933,0.7449664429530202,-0.006711409395973154,-0.09395973154362416,0.0738255033557047,0.8793956521861893,0.8787937179592977
qwen3_4b,steer_actions,real,aware_strong,0.2,149,any,backtracking,0.5100671140939598,0.48322147651006714,-0.026845637583892617,-0.1342281879194631,0.08053691275167785,0.6187044848313803,0.6170750774519738
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_testlex,initializing,0.0,0.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_testlex,deduction,0.15685500742414873,0.1576300705467797,0.0007750631226308956,-0.041367771519559414,0.04639673587821965,0.9724129088679166,0.827858311603898
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_testlex,adding-knowledge,0.016174819625802896,0.022024034137380036,0.005849214511577144,-0.014686119259710419,0.028052771178885428,0.5789585203416263,0.6697998046875
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_testlex,example-testing,0.0019397136982581373,0.0020524187755269585,0.00011270507726882114,-0.005819141094774412,0.006157256326580875,0.9683253549584754,
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_testlex,uncertainty-estimation,0.13208718447944748,0.11033589585287486,-0.021751288626572652,-0.0690436127727817,0.02400816549654574,0.36767760644995745,0.3485609901209894
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_testlex,backtracking,0.0037343316481231216,0.003948211795957296,0.00021388014783417332,-0.005531381370307545,0.006903456895318028,0.944674143374652,
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_nontest,initializing,0.6143226705511321,0.6645881539002458,0.050265483349113675,-0.05431944395455749,0.149119117293987,0.3144001220637385,0.3239380536028722
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_nontest,deduction,4.003182863697885,3.807687499500589,-0.19549536419729482,-0.42494501446769534,0.01492905235199983,0.09179873325096853,0.10618741862950531
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_nontest,adding-knowledge,1.553506906889467,1.789192364228045,0.23568545733857782,0.06859605425212681,0.39593987061336816,0.008030851498102539,0.020620593956129887
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_nontest,example-testing,0.2404961868894609,0.2517872230625651,0.011291036173104275,-0.06827113600486902,0.09040774518066616,0.7755205864901505,0.7650578532429497
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_nontest,uncertainty-estimation,0.5887896950108035,0.5264497798079926,-0.06233991520281078,-0.1958464607916503,0.05475596524714777,0.3436910968791164,0.5484978226518793
qwen3_4b,steer_actions,real,aware_strong,0.2,149,density_nontest,backtracking,0.27554732217118205,0.22839331401084206,-0.04715400816034001,-0.12095580032069887,0.018422684608196415,0.18909411916179472,0.3403626383504198
qwen3_4b,steer_actions,real,aware_strong,0.2,149,words,,334.4697986577181,327.28859060402687,-7.181208053691275,-49.98372483221476,34.608053691275146,0.7515928491182369,0.6569566288343728
qwen3_4b,steer_actions,real,aware_strong,0.2,149,n_spans_counted,,24.624161073825505,23.476510067114095,-1.1476510067114094,-4.134228187919463,1.5776845637583865,0.4459224062160129,0.47523040843847575
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,initializing,0.6143226705511321,0.6014052023772386,-0.012917468173893549,-0.10201875113166192,0.07638232338001548,0.7741835710722532,0.5486408995154763
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,deduction,4.160037871122034,3.9198672839723687,-0.24017058714966438,-0.447537498639377,-0.048067561947174126,0.023890608307290468,0.032187916266285484
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,adding-knowledge,1.56968172651527,1.6187964518578553,0.0491147253425855,-0.11226073256330742,0.20329327832358468,0.5516351946949106,0.5373311515397878
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,example-testing,0.24243590058771902,0.23259385329046298,-0.009842047297256046,-0.09693542871149623,0.08660521136563586,0.8348861954894164,0.42390323850103095
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,uncertainty-estimation,0.7208768794902509,0.7528223134603824,0.03194543397013142,-0.09713315544288789,0.16055121195556546,0.6317547980537332,0.6718766079641099
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,backtracking,0.2792816538193052,0.2693723018038943,-0.00990935201541087,-0.08649948547909282,0.058969459096986684,0.7938628958381618,0.8725405013740156
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,initializing,0.10724960273226813,0.10480388414835377,-0.0024457185839143695,-0.01296226051329217,0.008167813623350324,0.6542411158209938,0.5077558297897272
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,deduction,0.5075862463400163,0.4903035696441554,-0.01728267669586081,-0.04102351183249735,0.006303093891296729,0.1660843358470502,0.16740887813447158
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,adding-knowledge,0.21293079944413223,0.22742296126928838,0.014492161825156117,-0.007314579946853931,0.03580103733522766,0.19361809912015115,0.18622489729649383
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,example-testing,0.03651186485368786,0.03454408615628557,-0.0019677786974022834,-0.013854732562183525,0.010049817509866827,0.7433608272953948,0.5557084600297337
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,uncertainty-estimation,0.09322868635509086,0.09989427852551978,0.006665592170428906,-0.011589854153543886,0.02502253332989788,0.4878523627109554,0.6021426880120386
