arm,framing,projection,n_pairs,base_mean,delta,ci_lo,ci_hi
unc_all_pos,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,6.143341080347697,5.916465810338656,6.3483426072200135
unc_all_pos,hypothetical,proj_lastprompt_uncertainty-estimation,60,11.429842456181843,10.13616394996643,10.13448257247607,10.138095534245172
unc_all_pos,hypothetical,proj_lastprompt_probe,60,-2.58591870367527,0.33231959442297615,0.2864808538059394,0.3781737626592318
unc_all_pos,hypothetical,proj_incontext_backtracking,60,20.33639783859253,8.34409294128418,7.993576542536418,8.691578857898712
unc_all_pos,hypothetical,proj_incontext_uncertainty-estimation,60,10.649153288205465,10.467940052350363,9.786003098289171,11.071681542595227
unc_all_pos,hypothetical,proj_incontext_probe,60,-3.7888984103997547,0.7391524765640497,0.5268109630048274,0.9816135949889817
unc_nontest_neg,real,proj_probe,60,-3.4419386804103853,-0.6731455365816752,-0.9472115796804428,-0.36516910890738236
unc_nontest_neg,real,proj_lastprompt_backtracking,60,8.786149096488952,-2.8728917558987934,-2.9977458828687666,-2.745303924679756
unc_nontest_neg,real,proj_lastprompt_uncertainty-estimation,60,11.553783623377482,-10.127038224041462,-10.128737115723391,-10.124793445790807
unc_nontest_neg,real,proj_lastprompt_probe,60,-2.4264470914999645,-0.5424849549929301,-0.5906153371930122,-0.4939190968871117
unc_nontest_neg,real,proj_incontext_backtracking,60,20.834461228052774,-7.1221415837605795,-7.646591132084528,-6.647595734596253
unc_nontest_neg,real,proj_incontext_uncertainty-estimation,60,10.338428846995036,-10.330082466825843,-11.240575992117325,-9.41265686782077
unc_nontest_neg,real,proj_incontext_probe,60,-3.4669198110699653,-0.987815364698569,-1.2510178052385648,-0.6939410538723075
unc_nontest_neg,hypothetical,proj_probe,60,-3.8292088707288108,-0.11948841214179992,-0.4709753572940827,0.1999352755645908
unc_nontest_neg,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,-2.8789008458455405,-2.976928943594297,-2.7785850832859675
unc_nontest_neg,hypothetical,proj_lastprompt_uncertainty-estimation,60,11.429842456181843,-10.127838014066219,-10.129204788704714,-10.126010968300204
unc_nontest_neg,hypothetical,proj_lastprompt_probe,60,-2.58591870367527,-0.5472766846418381,-0.587946892430385,-0.5079203754166761
unc_nontest_neg,hypothetical,proj_incontext_backtracking,60,20.33639783859253,-6.775022411346436,-7.152340370019277,-6.42063656727473
unc_nontest_neg,hypothetical,proj_incontext_uncertainty-estimation,60,10.649153288205465,-10.625057368787626,-11.393710379479453,-9.865286227716133
unc_nontest_neg,hypothetical,proj_incontext_probe,60,-3.7888984103997547,-0.5679337898890178,-0.9085966817537944,-0.2627553845445317
unc_nontest_pos,real,proj_probe,60,-3.4419386804103853,0.5043731997410457,0.11649100929498672,0.8853240004926918
unc_nontest_pos,real,proj_lastprompt_backtracking,60,8.786149096488952,6.006024082501729,5.794552675882976,6.202122236092885
unc_nontest_pos,real,proj_lastprompt_uncertainty-estimation,60,11.553783623377482,10.12348198890686,10.121287579536437,10.125390293598175
unc_nontest_pos,real,proj_lastprompt_probe,60,-2.4264470914999645,0.12971178491910298,0.08666900669535002,0.17498646979530652
unc_nontest_pos,real,proj_incontext_backtracking,60,20.834461228052774,8.160575946172079,7.618595887422561,8.653850534359615
unc_nontest_pos,real,proj_incontext_uncertainty-estimation,60,10.338428846995036,11.363213062286377,10.582348634401958,12.13378526866436
unc_nontest_pos,real,proj_incontext_probe,60,-3.4669198110699653,0.5436036166424553,0.16442947886884213,0.9259342847423006
unc_nontest_pos,hypothetical,proj_probe,60,-3.8292088707288108,0.6838604062795639,0.40911976950864,0.9610510341078041
unc_nontest_pos,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,5.8712664922078455,5.6479347878694535,6.075345743497213
unc_nontest_pos,hypothetical,proj_lastprompt_uncertainty-estimation,60,11.429842456181843,10.12367205619812,10.121292303800583,10.125643354256948
unc_nontest_pos,hypothetical,proj_lastprompt_probe,60,-2.58591870367527,0.15758445958296458,0.11249362928171953,0.20324776877959566
unc_nontest_pos,hypothetical,proj_incontext_backtracking,60,20.33639783859253,8.0267728805542,7.570950118700663,8.461865755716959
unc_nontest_pos,hypothetical,proj_incontext_uncertainty-estimation,60,10.649153288205465,10.142352588971455,9.349772617816924,10.917321398059528
unc_nontest_pos,hypothetical,proj_incontext_probe,60,-3.7888984103997547,0.7100394380589327,0.4389472620437543,0.9955185589318468
unc_testlex_neg,real,proj_probe,60,-3.4419386804103853,-0.465851358572642,-0.7100982816517353,-0.2153991609811783
unc_testlex_neg,real,proj_lastprompt_backtracking,60,8.786149096488952,-2.1699719071388244,-2.2726322024067245,-2.0735092616081237
unc_testlex_neg,real,proj_lastprompt_uncertainty-estimation,60,11.553783623377482,-3.134183684984843,-3.1422583907842636,-3.1261552208662033
unc_testlex_neg,real,proj_lastprompt_probe,60,-2.4264470914999645,-1.5165729542573294,-1.5637724051376183,-1.4680353236198425
unc_testlex_neg,real,proj_incontext_backtracking,60,20.834461228052774,-5.954958216349284,-6.3060602033138276,-5.588130813837052
unc_testlex_neg,real,proj_incontext_uncertainty-estimation,60,10.338428846995036,-3.2142104466756183,-3.9701259024937947,-2.4568329519033436
unc_testlex_neg,real,proj_incontext_probe,60,-3.4669198110699653,-1.8281318232417108,-2.079800011813641,-1.564689295416077
unc_testlex_neg,hypothetical,proj_probe,60,-3.8292088707288108,-0.09620454708735147,-0.4050096003711224,0.19299474502603198
unc_testlex_neg,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,-2.1576687574386595,-2.2487990570068357,-2.0712261577447255
unc_testlex_neg,hypothetical,proj_lastprompt_uncertainty-estimation,60,11.429842456181843,-3.1360971927642822,-3.1439964741468427,-3.127730192144712
unc_testlex_neg,hypothetical,proj_lastprompt_probe,60,-2.58591870367527,-1.4778326282898584,-1.5214257314056157,-1.4348995091021062
unc_testlex_neg,hypothetical,proj_incontext_backtracking,60,20.33639783859253,-6.108772563934326,-6.541260960499446,-5.680941342910131
