model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,uncertainty-estimation,density_testlex,0.11376436136847395,-0.14479713205141384,0.37506039451478235
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,backtracking,density,0.038864899603382914,-0.1511454805486553,0.22157929778658567
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,backtracking,density_nontest,0.01757924613382139,-0.1650502645683818,0.1837103427716876
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,backtracking,density_testlex,0.021285653469561516,0.0,0.06385696040868455
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,initializing,density,-0.10734705931338903,-0.21269819732801037,-0.006643039755921962
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,initializing,density_nontest,-0.10734705931338903,-0.21269819732801037,-0.006643039755921962
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,deduction,density,-0.2322643373234004,-0.5014041823577611,0.04842473447557834
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,deduction,density_nontest,-0.22179622815619565,-0.4947481674180662,0.06249674089699811
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,deduction,density_testlex,-0.010468109167204805,-0.05782740340169538,0.038592929234372846
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,adding-knowledge,density,-0.1792349934742544,-0.37596689991725213,0.002538229653043767
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,adding-knowledge,density_nontest,-0.1703867928859458,-0.3622835633794879,0.009787723614223715
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,adding-knowledge,density_testlex,-0.00884820058830862,-0.028564947391640644,0.009109029471434436
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,example-testing,density,0.032547240486824794,-0.06615267852501402,0.13558554675567266
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,example-testing,density_nontest,0.035408798318908585,-0.06315149045381127,0.13843066754326647
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,example-testing,density_testlex,-0.0028615578320837867,-0.00858467349625136,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,uncertainty-estimation,density,0.10829081435480467,-0.02493104660899874,0.2410395309226459
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,uncertainty-estimation,density_nontest,0.09486246486313316,-0.03641586132766938,0.2249618741776776
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,uncertainty-estimation,density_testlex,0.013428349491671557,-0.03570055644996824,0.061962829979225656
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,backtracking,density,0.014480474408607467,-0.07695015062670985,0.10067960095363752
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,backtracking,density_nontest,0.01354648760294772,-0.07901906861477147,0.09933810719678644
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,comply_both,101,backtracking,density_testlex,0.0009339868056597474,-0.010419778119839001,0.011425652125688412
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,initializing,density,-0.05307592495937518,-0.17045571053664885,0.05463043747622737
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,initializing,density_nontest,-0.05307592495937518,-0.17045571053664885,0.05463043747622737
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,deduction,density,-0.3053045455228458,-0.7706806710060101,0.1409439543216174
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,deduction,density_nontest,-0.3558509905101025,-0.8395154802690152,0.09055469073651302
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,deduction,density_testlex,0.050546444987256633,-0.06739566006193982,0.15831434471334935
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,adding-knowledge,density,0.2090364810503353,-0.11718919020062545,0.5344187924195639
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,adding-knowledge,density_nontest,0.20810624320402196,-0.11809617210078102,0.5332151204637667
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,adding-knowledge,density_testlex,0.0009302378463133388,0.0,0.0027907135389400165
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,example-testing,density,0.012312238364934745,0.0,0.03693671509480424
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,example-testing,density_nontest,0.012312238364934745,0.0,0.03693671509480424
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,uncertainty-estimation,density,0.10260501632802724,-0.12563918938167368,0.3540069364090102
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,uncertainty-estimation,density_nontest,0.0783666054169489,-0.13300338067720135,0.303588562031276
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,uncertainty-estimation,density_testlex,0.024238410911078305,-0.10384329832466681,0.14443790708728857
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,backtracking,density,0.004097438102060929,-0.14422194095246482,0.15503039487287662
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,backtracking,density_nontest,0.004097438102060929,-0.14422194095246482,0.15503039487287662
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,refuse_both,31,backtracking,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,initializing,density,-0.09460156563934033,-0.1787781081351214,-0.007198443176939811
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,initializing,density_nontest,-0.09460156563934033,-0.1787781081351214,-0.007198443176939811
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,deduction,density,-0.2494177195520581,-0.507036386669354,0.006550077496058673
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,deduction,density_nontest,-0.25327878598173437,-0.5115132343801317,-0.0035533518447378324
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,deduction,density_testlex,0.003861066429676296,-0.04115387239165821,0.04866435593500074
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,adding-knowledge,density,-0.08805002597226745,-0.24605864076822484,0.08633660376644087
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,adding-knowledge,density_nontest,-0.08149827683451398,-0.2372014926383448,0.08841154698924049
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,adding-knowledge,density_testlex,-0.006551749137753461,-0.02210806208110233,0.008916388458371767
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,example-testing,density,0.02779508089759304,-0.049601639246821934,0.10517128743131839
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,example-testing,density_nontest,0.02998460620850564,-0.04726711683799011,0.10701438758751766
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,example-testing,density_testlex,-0.002189525310912594,-0.006568575932737783,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,uncertainty-estimation,density,0.10695551330306148,-0.018699596956464094,0.22338112273421068
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,uncertainty-estimation,density_nontest,0.09098843726592322,-0.02574241216634981,0.20484789934678424
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,uncertainty-estimation,density_testlex,0.015967076037138293,-0.033437103780720685,0.06389998904520487
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,backtracking,density,0.012042034063888193,-0.06786612337000826,0.0849410923246599
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,backtracking,density_nontest,0.011327392644406114,-0.06810395454051384,0.08414105568727569
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,same,132,backtracking,density_testlex,0.0007146414194820794,-0.0066573022615730474,0.009197942156303944
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,initializing,density,-0.09901559972217497,-0.3061818115590516,0.09705597647231069
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,initializing,density_nontest,-0.09901559972217497,-0.3061818115590516,0.09705597647231069
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,deduction,density,0.04112076841657271,-0.4941621179899056,0.553535123086609
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,deduction,density_nontest,0.19211869563038025,-0.4551745863486072,0.8198184246647668
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,deduction,density_testlex,-0.1509979272138076,-0.3685970082224195,0.05745718460673441
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,adding-knowledge,density,-0.54565092892307,-1.197836900584995,0.16046515289470978
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,adding-knowledge,density_nontest,-0.54565092892307,-1.197836900584995,0.16046515289470978
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,adding-knowledge,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,example-testing,density,0.239064625950301,0.08907880417386851,0.41296476412967564
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,example-testing,density_nontest,0.239064625950301,0.08907880417386851,0.41296476412967564
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,uncertainty-estimation,density,0.25785876639063565,-0.2065495389434657,0.7351941850133357
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,uncertainty-estimation,density_nontest,0.15263882165505588,-0.20370419232359885,0.5346758536023796
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,uncertainty-estimation,density_testlex,0.10521994473557975,-0.10847834655779402,0.3440708082174724
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,backtracking,density,-0.31772650041708117,-0.5966207592185504,-0.10186389410708338
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,backtracking,density_nontest,-0.339003096161762,-0.6034501163178958,-0.1394195467810639
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,gained,10,backtracking,density_testlex,0.02127659574468085,0.0,0.06382978723404256
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,initializing,density,0.07424427526414318,-0.11114107254917664,0.2603788195207411
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,initializing,density_nontest,0.07424427526414318,-0.11114107254917664,0.2603788195207411
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,deduction,density,0.3399342429716476,-0.6969686211542564,1.4400409127342384
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,deduction,density_nontest,0.13700339769648626,-0.9787161595251722,1.2661691792445582
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,deduction,density_testlex,0.20293084527516134,-0.07424173481588278,0.4774739925684634
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,adding-knowledge,density,0.15924916101641784,-0.16911229163004526,0.5274721475090697
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,adding-knowledge,density_nontest,0.15924916101641784,-0.16911229163004526,0.5274721475090697
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,adding-knowledge,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,example-testing,density,-0.17773050941984542,-0.34440515630137586,-0.015564703079376506
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,example-testing,density_nontest,-0.17773050941984542,-0.34440515630137586,-0.015564703079376506
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_unc_pos,0.0,lost,9,uncertainty-estimation,density,-0.5092545090838776,-1.0140045405122742,-0.04574799613945013
